dataset,model,repeat,R2,MSE,MAE,RMSE,alpha,n_selected
y2_noisy,Lasso,7,0.9231138154334757,0.10325287477692104,0.2459215302271145,0.3213298535413743,0.05736152510448681,5.0
y2_noisy,LARS,7,0.922175672403724,0.10451273654948667,0.24739721112389698,0.323284296787652,0.06989516216009291,3.0
y2_noisy,OLS,8,0.9019043665449911,0.1790287882377881,0.3586152525371853,0.42311793655881347,,
y2_noisy,Ridge,8,0.9035010276010742,0.1761148125180826,0.34119658128347213,0.4196603537601361,2.0433597178569416,
y2_noisy,Lasso,8,0.9073934748149464,0.16901092742722668,0.32421008896659687,0.4111093862066721,0.05736152510448681,2.0
y2_noisy,LARS,8,0.9086080694998778,0.16679423941589877,0.32808776871827244,0.4084045046469233,4.0,4.0
y2_noisy,OLS,9,0.918196486197392,0.12496045107236568,0.2892043906373953,0.3534974555387431,,
y2_noisy,Ridge,9,0.911537274112011,0.13513285207684714,0.30257045665091514,0.36760420573879066,2.0433597178569416,
y2_noisy,Lasso,9,0.9133102860989439,0.13242445524467109,0.2750836515842669,0.3639017109669465,0.05736152510448681,3.0
y2_noisy,LARS,9,0.9132815876289154,0.13246829411653804,0.2753013050302697,0.36396194047803687,4.0,4.0
y2_noisy,OLS,10,0.8627886330481995,0.15030863429334318,0.29700144817471186,0.38769657503432137,,
y2_noisy,Ridge,10,0.8612099553584506,0.1520380018581958,0.31189849126617203,0.38992050710137804,1.2689610031679222,
y2_noisy,Lasso,10,0.8917401499171358,0.11859360180030531,0.27248789429029446,0.34437421767650567,0.03856620421163472,6.0
y2_noisy,LARS,10,0.891170633288756,0.11921748062697113,0.2729815491193848,0.3452788447428703,0.037653904278213815,6.0
y2_noisy,OLS,11,0.8753949657665616,0.19649723606291683,0.3430544976829813,0.44328008760028553,,
y2_noisy,Ridge,11,0.8645234985093622,0.21364111216013906,0.36883445032331186,0.46221327562083186,2.0433597178569416,
y2_noisy,Lasso,11,0.9332129615564682,0.10532053170818068,0.2723068555572134,0.3245312492013376,0.05736152510448681,6.0
y2_noisy,LARS,11,0.9339446447515463,0.10416669609960344,0.2722550591029692,0.3227486577812578,8.0,8.0
y2_noisy,OLS,12,0.9346706406430969,0.10711906342308246,0.2635471716838177,0.3272904878285992,,
y2_noisy,Ridge,12,0.9392214923585654,0.09965713545781447,0.24017095465057248,0.31568518409614105,2.0433597178569416,
y2_noisy,Lasso,12,0.9060557427761264,0.15403826008489943,0.31803013533097163,0.3924770822416252,0.08531678524172814,2.0
y2_noisy,LARS,12,0.9206171742720444,0.13016221232786143,0.28516094144849763,0.36078000544356864,3.0,3.0
y2_noisy,OLS,13,0.8468515530669625,0.18284375350210955,0.378122808365321,0.42760233102978934,,
y2_noisy,Ridge,13,0.8639982777505761,0.1623722987521308,0.35854034767337967,0.40295446238021837,1.2689610031679222,
y2_noisy,Lasso,13,0.9163745867759558,0.09984028403980309,0.25605994743896837,0.3159751319958631,0.05736152510448681,4.0
y2_noisy,LARS,13,0.9148360429419251,0.10167714974216775,0.25991673623844164,0.3188685461787784,0.0501486229521979,5.0
y2_noisy,OLS,14,0.8725410865014896,0.1639461163362301,0.31872131680370946,0.4049026010489808,,
y2_noisy,Ridge,14,0.8911106458507898,0.14006071629766423,0.28612274104684576,0.37424686544801444,1.2689610031679222,
y2_noisy,Lasso,14,0.9383923624826648,0.07924383340781717,0.22048821859033696,0.28150281243322806,0.05736152510448681,4.0
y2_noisy,LARS,14,0.9382667460731847,0.07940540957316396,0.22055052712570244,0.28178965483701485,4.0,4.0
y2_noisy,OLS,15,0.9335467125211696,0.11328994149301298,0.2876228583688258,0.33658571195612713,,
y2_noisy,Ridge,15,0.9206307605037334,0.13530912976640058,0.31003246495543474,0.3678438932025385,3.2903445623126677,
y2_noisy,Lasso,15,0.9373213830798788,0.1068548617102741,0.27493194003352023,0.326886619044393,0.08531678524172814,3.0
y2_noisy,LARS,15,0.940250367184085,0.10186151299287337,0.2671889047859953,0.3191575049922426,4.0,4.0
y2_noisy,OLS,16,0.8876510355773813,0.1284370436539812,0.2820272536853991,0.35838114299441204,,
y2_noisy,Ridge,16,0.8881900806197403,0.1278208087648328,0.28748934247127184,0.35752036132901965,1.2689610031679222,
y2_noisy,Lasso,16,0.8924739299063507,0.1229235234123681,0.2719827014158563,0.35060451139762605,0.05736152510448681,4.0
y2_noisy,LARS,16,0.8951405834055824,0.11987501207404803,0.26900055372177417,0.3462297099817519,4.0,4.0
y2_noisy,OLS,17,0.8261196691194093,0.16335243853012954,0.3135662512386797,0.40416882429268286,,
y2_noisy,Ridge,17,0.844417992117571,0.1461620198805678,0.2971654136669317,0.38231141740807034,1.2689610031679222,
y2_noisy,Lasso,17,0.8796635587147333,0.11305045848736817,0.2578600511951701,0.3362297703764022,0.05736152510448681,3.0
y2_noisy,LARS,17,0.8814045311315974,0.11141489632649475,0.2558716807847918,0.33378870011804584,0.0648733038546015,3.0
y2_noisy,OLS,18,0.815134391906195,0.1926945816246355,0.3454524029346134,0.4389699097029721,,
y2_noisy,Ridge,18,0.8253429830956589,0.18205366129059194,0.34113989428273,0.4266774675215366,1.2689610031679222,
y2_noisy,Lasso,18,0.8828848812892272,0.12207489015718193,0.2647585761035673,0.34939217243261467,0.05736152510448681,4.0
y2_noisy,LARS,18,0.8806496944017037,0.12440473618200688,0.2676216316227826,0.3527105558131297,0.05131149252169032,4.0
y2_noisy,OLS,19,0.843680990064881,0.2490755118024478,0.4073249494782221,0.4990746555400783,,
y2_noisy,Ridge,19,0.846311556200623,0.2448840215488817,0.4063644833071931,0.49485757703493,1.2689610031679222,
y2_noisy,Lasso,19,0.8967285610962796,0.16455059759011753,0.3330919016900489,0.40564836692647677,0.05736152510448681,4.0
y2_noisy,LARS,19,0.8968324515116239,0.16438506072813255,0.3327176846871857,0.4054442757372862,0.058619763829924044,4.0
y2_noisy,OLS,20,0.7303692746797061,0.2807585269117346,0.4540379802244731,0.5298665180134847,,
y2_noisy,Ridge,20,0.7126295028718092,0.29923042841561187,0.4734106170157994,0.5470195868665142,2.0433597178569416,
y2_noisy,Lasso,20,0.8306652190716532,0.176323316238862,0.35465925954516164,0.4199086998847035,0.03856620421163472,6.0
y2_noisy,LARS,20,0.8243881482264086,0.18285944509338328,0.3635532784022543,0.42762067898241696,0.031677763134578464,8.0
y2_noisy,OLS,21,0.7753192974031842,0.27935793921524416,0.4177866034748394,0.5285432236016693,,
y2_noisy,Ridge,21,0.7797146771409128,0.27389292058476694,0.4164271739087202,0.5233478007833481,0.3039195382313198,
y2_noisy,Lasso,21,0.8506189689381756,0.18573369458508657,0.34439634713316014,0.4309683220204086,0.02592943797404667,12.0
y2_noisy,LARS,21,0.8562086369633641,0.17878375129949808,0.3408220278821827,0.4228282763717418,9.0,9.0
y2_noisy,OLS,22,0.9075417075005622,0.13965996111951187,0.2986021020704295,0.3737110663594428,,
y2_noisy,Ridge,22,0.9047337099054247,0.1439014934294772,0.3038361297560521,0.37934350321242777,2.0433597178569416,
y2_noisy,Lasso,22,0.8914456999345771,0.1639732782928581,0.3080013357042651,0.4049361410060333,0.05736152510448681,3.0
y2_noisy,LARS,22,0.89815548500504,0.1538380238259119,0.30307293198241897,0.3922219063564807,3.0,3.0
y2_noisy,OLS,23,0.876498287907559,0.14858064739888263,0.32854597563074733,0.38546160301498594,,
y2_noisy,Ridge,23,0.8933884533467702,0.12826067228992355,0.305362168469214,0.3581349917139116,2.0433597178569416,
y2_noisy,Lasso,23,0.9250467053938625,0.09017372187458701,0.2431891090743549,0.30028939687339445,0.05736152510448681,5.0
y2_noisy,LARS,23,0.9290833632116461,0.08531735817134432,0.2330247683439767,0.2920913524419104,0.07191371133803162,3.0
y2_noisy,OLS,24,0.8396795495734733,0.209940133536373,0.37888945413612246,0.45819224517267093,,
y2_noisy,Ridge,24,0.8508225447207125,0.19534834638144205,0.37087424183160683,0.4419822919319755,1.2689610031679222,
y2_noisy,Lasso,24,0.927863017417264,0.0944636053356847,0.25969394762011905,0.3073493213522436,0.03856620421163472,7.0
y2_noisy,LARS,24,0.9438822254241078,0.07348640212077111,0.2152492975965716,0.27108375480793956,5.0,5.0
y3_no_multicollinearity,OLS,0,0.9734262090236928,0.0347873608905541,0.1415206847243555,0.18651370161613892,,
y3_no_multicollinearity,Ridge,0,0.9734069433341053,0.0348125813228622,0.1416482706808746,0.1865812994993394,0.02807216203941177,
y3_no_multicollinearity,Lasso,0,0.9734301813922003,0.034782160721071924,0.14152200724644223,0.18649976064615184,0.0001,2.0
y3_no_multicollinearity,LARS,0,0.9734262090236928,0.03478736089055406,0.14152068472435528,0.1865137016161388,0.0,2.0
y3_no_multicollinearity,OLS,1,0.960882312045629,0.048254719444491036,0.18059286940399397,0.21966956877203322,,
y3_no_multicollinearity,Ridge,1,0.9608806640337796,0.04825675239565954,0.18059622701632547,0.219674196016873,0.001,
y3_no_multicollinearity,Lasso,1,0.9608883107245353,0.04824731960613662,0.18056721281621566,0.2196527250141382,0.0001,2.0
y3_no_multicollinearity,LARS,1,0.960882312045629,0.048254719444490994,0.18059286940399386,0.21966956877203314,8.074349270001139e-17,2.0
y3_no_multicollinearity,OLS,2,0.9700853407283004,0.04429625629082586,0.17999931290472856,0.2104667581610594,,
y3_no_multicollinearity,Ridge,2,0.9700843721933277,0.04429769045302002,0.17998413479015327,0.2104701652325574,0.006723357536499335,
y3_no_multicollinearity,Lasso,2,0.9700209846144893,0.04439155187435121,0.17999273762722212,0.21069302758836422,0.001082636733874054,2.0
y3_no_multicollinearity,LARS,2,0.9700853407283004,0.044296256290825904,0.17999931290472881,0.2104667581610595,0.0,2.0
y3_no_multicollinearity,OLS,3,0.9759538265484115,0.03470725909003022,0.1433013455024447,0.1862988435015908,,
y3_no_multicollinearity,Ridge,3,0.9759527437523278,0.03470882195342271,0.1433017733085572,0.18630303796079845,0.001,
y3_no_multicollinearity,Lasso,3,0.9755623838119266,0.03527225145779466,0.14367020983610143,0.18780908246885894,0.005298316906283713,2.0
y3_no_multicollinearity,LARS,3,0.9759538265484113,0.034707259090030286,0.1433013455024448,0.18629884350159098,0.0,2.0
